"Site","Type_of_data","Device_Type","Page_Type","Period","max_count_pageview","time_of_max_count","X","X.1","X.2"
"Zattini","Pageviews","mobile","Cart","hour",225," 2017-05-11 20:00:00 ",,"",""
"Zattini","Pageviews","mobile","Cart","minute",16," 2017-05-11 20:37:00 ",,"",""
"Zattini","Pageviews","non-mobile","All","day",925471," 2017-07-04 00:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","All","hour",89684," 2017-07-19 13:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","All","minute",1708," 2017-07-04 13:37:00 ",,"",""
"Zattini","Pageviews","non-mobile","PDP","day",685703," 2017-07-04 00:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","PDP","hour",67277," 2017-07-19 13:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","PDP","minute",1207," 2017-07-19 13:36:00 ",,"",""
"Zattini","Pageviews","non-mobile","Home","day",153375," 2017-07-12 00:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","Home","hour",15941," 2017-06-27 18:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","Home","minute",573," 2017-05-30 22:46:00 ",,"",""
"Zattini","Pageviews","non-mobile","Cart","day",87133," 2017-07-12 00:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","Cart","hour",8195," 2017-07-19 13:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","Cart","minute",174," 2017-05-04 13:35:00 ",,"",""
